Food_Item,Iron_mg,B12_ug,VitaminD_IU,Calcium_mg
Rice,0.2,0.0,0.0,10
Curd,0.1,0.4,5.0,120
Spinach,2.7,0.0,0.0,99
Milk,0.0,1.0,40.0,125
Drumstick Leaves,4.0,0.0,0.0,185
Ragi,3.9,0.0,0.0,344
Paneer,0.5,1.1,7.0,208
Dal,3.0,0.0,0.0,50
Chapati,1.2,0.0,0.0,20
Sambar,1.8,0.0,0.0,30
Idli,0.6,0.0,0.0,15
Millets,3.0,0.0,0.0,150
Buttermilk,0.1,0.3,5.0,80
Ragi Porridge,3.5,0.0,0.0,300
Egg,1.2,1.5,20.0,50
Banana,0.3,0.0,0.0,5
Tomato,0.5,0.0,0.0,10
Chicken,1.3,0.6,40.0,15
Fish,1.0,2.0,100.0,20
Green Gram,5.0,0.0,0.0,45
Carrot,0.6,0.0,0.0,25
Potato,0.7,0.0,0.0,10
Apple,0.1,0.0,0.0,5
Beetroot,0.8,0.0,0.0,30
